date,stock_ticker,company_name,exchange,country,currency,region,sector,beta,market_cap_bn,quarterly_return_pct,world_gdp_growth,us_fed_rate,us_cpi,vix,usd_index,oil_price_usd,gold_price_usd,geopolitical_risk,global_trade_vol,em_currency_idx
2019-01-01,JPMO_NYS,JPMorgan,NYSE,USA,USD,Americas,Technology,1.33,373.4,5.632,3.1,2.25,1.6,16,96,55,1290,110,2.2,100
2019-04-01,JPMO_NYS,JPMorgan,NYSE,USA,USD,Americas,Technology,1.33,373.4,7.712,3.0,2.5,1.9,13,97,62,1310,112,2.5,98
2019-07-01,JPMO_NYS,JPMorgan,NYSE,USA,USD,Americas,Technology,1.33,373.4,10.577,2.9,2.25,1.8,15,98,60,1490,115,1.5,95
2019-10-01,JPMO_NYS,JPMorgan,NYSE,USA,USD,Americas,Technology,1.33,373.4,9.081,2.8,1.75,2.1,17,97,56,1480,118,0.8,97
2020-01-01,JPMO_NYS,JPMorgan,NYSE,USA,USD,Americas,Technology,1.33,373.4,-2.784,1.5,1.5,2.3,28,99,45,1580,130,-0.5,96
2020-04-01,JPMO_NYS,JPMorgan,NYSE,USA,USD,Americas,Technology,1.33,373.4,-11.503,-6.5,0.25,0.1,55,100,20,1710,125,-15.0,88
2020-07-01,JPMO_NYS,JPMorgan,NYSE,USA,USD,Americas,Technology,1.33,373.4,-2.006,-4.0,0.25,1.2,26,93,38,1900,120,3.0,90
2020-10-01,JPMO_NYS,JPMorgan,NYSE,USA,USD,Americas,Technology,1.33,373.4,-0.103,-1.8,0.25,1.4,22,90,42,1870,115,4.2,93
2021-01-01,JPMO_NYS,JPMorgan,NYSE,USA,USD,Americas,Technology,1.33,373.4,9.92,5.5,0.25,1.7,21,89,52,1820,112,7.5,95
2021-04-01,JPMO_NYS,JPMorgan,NYSE,USA,USD,Americas,Technology,1.33,373.4,13.483,5.0,0.25,5.0,17,91,62,1780,110,8.0,97
2021-07-01,JPMO_NYS,JPMorgan,NYSE,USA,USD,Americas,Technology,1.33,373.4,1.047,4.5,0.25,6.2,18,93,74,1760,108,6.5,96
2021-10-01,JPMO_NYS,JPMorgan,NYSE,USA,USD,Americas,Technology,1.33,373.4,3.994,4.2,0.25,7.0,17,96,80,1820,112,5.8,94
2022-01-01,JPMO_NYS,JPMorgan,NYSE,USA,USD,Americas,Technology,1.33,373.4,3.573,3.8,0.25,7.9,24,98,95,1900,165,3.5,92
2022-04-01,JPMO_NYS,JPMorgan,NYSE,USA,USD,Americas,Technology,1.33,373.4,-0.073,3.5,0.5,8.5,26,103,105,1870,200,2.5,88
2022-07-01,JPMO_NYS,JPMorgan,NYSE,USA,USD,Americas,Technology,1.33,373.4,-0.681,3.0,1.5,8.3,30,108,95,1720,195,1.8,85
2022-10-01,JPMO_NYS,JPMorgan,NYSE,USA,USD,Americas,Technology,1.33,373.4,3.547,2.8,3.0,7.1,22,104,82,1800,180,2.0,88
2023-01-01,JPMO_NYS,JPMorgan,NYSE,USA,USD,Americas,Technology,1.33,373.4,6.42,2.5,4.25,6.4,21,102,78,1850,175,2.2,87
2023-04-01,JPMO_NYS,JPMorgan,NYSE,USA,USD,Americas,Technology,1.33,373.4,-3.004,2.3,4.75,5.0,19,101,73,1960,170,2.5,89
2023-07-01,JPMO_NYS,JPMorgan,NYSE,USA,USD,Americas,Technology,1.33,373.4,4.303,2.1,5.0,4.0,17,100,70,1920,165,2.8,91
2023-10-01,JPMO_NYS,JPMorgan,NYSE,USA,USD,Americas,Technology,1.33,373.4,5.737,1.9,5.25,3.2,14,103,75,2000,160,3.0,90
2019-01-01,EXXO_NYS,ExxonMobil,NYSE,USA,USD,Americas,Healthcare,0.86,479.0,3.191,3.1,2.25,1.6,16,96,55,1290,110,2.2,100
2019-04-01,EXXO_NYS,ExxonMobil,NYSE,USA,USD,Americas,Healthcare,0.86,479.0,5.62,3.0,2.5,1.9,13,97,62,1310,112,2.5,98
2019-07-01,EXXO_NYS,ExxonMobil,NYSE,USA,USD,Americas,Healthcare,0.86,479.0,10.328,2.9,2.25,1.8,15,98,60,1490,115,1.5,95
2019-10-01,EXXO_NYS,ExxonMobil,NYSE,USA,USD,Americas,Healthcare,0.86,479.0,8.248,2.8,1.75,2.1,17,97,56,1480,118,0.8,97
2020-01-01,EXXO_NYS,ExxonMobil,NYSE,USA,USD,Americas,Healthcare,0.86,479.0,-4.13,1.5,1.5,2.3,28,99,45,1580,130,-0.5,96
2020-04-01,EXXO_NYS,ExxonMobil,NYSE,USA,USD,Americas,Healthcare,0.86,479.0,-11.347,-6.5,0.25,0.1,55,100,20,1710,125,-15.0,88
2020-07-01,EXXO_NYS,ExxonMobil,NYSE,USA,USD,Americas,Healthcare,0.86,479.0,-2.495,-4.0,0.25,1.2,26,93,38,1900,120,3.0,90
